profile_id,station_id,station_name,datetime_utc,year,month,cycle,n_levels_total,n_levels_to_500,p_surface_hpa,t_surface_c,p_top_hpa,t_top_c,delta_t_top_surface_c,inversion_detected,inversion_top_pressure_hpa,inversion_top_height_m,inversion_top_temp_c,inversion_delta_t_c,profile_status,source_file
31004_19990106_1200_12,31004,Aldan,1999-01-06T12:00:00Z,1999,1,12,6,6,1000.0,-26.2,500.0,-32.2,-6.0000000000000036,True,850.0,1000.0,-23.2,3.0,good,gdas.adpupa.t12z.19990106.bufr
31004_19990107_0000_00,31004,Aldan,1999-01-07T00:00:00Z,1999,1,00,6,6,1000.0,-25.9,500.0,-31.9,-6.0,True,850.0,1000.0,-22.9,3.0,good,gdas.adpupa.t00z.19990107.bufr
31004_19990107_1200_12,31004,Aldan,1999-01-07T12:00:00Z,1999,1,12,6,6,1000.0,-25.9,500.0,-31.9,-6.0,True,850.0,1000.0,-22.9,3.0,good,gdas.adpupa.t12z.19990107.bufr
31004_19990108_0000_00,31004,Aldan,1999-01-08T00:00:00Z,1999,1,00,6,6,1000.0,-25.6,500.0,-31.6,-6.0,True,850.0,1000.0,-22.6,3.0,good,gdas.adpupa.t00z.19990108.bufr
31004_19990108_1200_12,31004,Aldan,1999-01-08T12:00:00Z,1999,1,12,6,6,1000.0,-25.6,500.0,-31.6,-6.0,True,850.0,1000.0,-22.6,3.0,good,gdas.adpupa.t12z.19990108.bufr
31004_19990109_0000_00,31004,Aldan,1999-01-09T00:00:00Z,1999,1,00,6,6,1000.0,-25.3,500.0,-31.3,-6.0,True,850.0,1000.0,-22.3,3.0,good,gdas.adpupa.t00z.19990109.bufr
31004_19990109_1200_12,31004,Aldan,1999-01-09T12:00:00Z,1999,1,12,6,6,1000.0,-25.3,500.0,-31.3,-6.0,True,850.0,1000.0,-22.3,3.0,good,gdas.adpupa.t12z.19990109.bufr
31004_19990110_0000_00,31004,Aldan,1999-01-10T00:00:00Z,1999,1,00,6,6,1000.0,-25.0,500.0,-31.0,-6.0,True,850.0,1000.0,-22.0,3.0,good,gdas.adpupa.t00z.19990110.bufr
31004_19990110_1200_12,31004,Aldan,1999-01-10T12:00:00Z,1999,1,12,6,6,1000.0,-25.0,500.0,-31.0,-6.0,True,850.0,1000.0,-22.0,3.0,good,gdas.adpupa.t12z.19990110.bufr
31004_19990111_0000_00,31004,Aldan,1999-01-11T00:00:00Z,1999,1,00,6,6,1000.0,-24.7,500.0,-30.7,-6.0,True,850.0,1000.0,-21.7,3.0,good,gdas.adpupa.t00z.19990111.bufr
31004_19990111_1200_12,31004,Aldan,1999-01-11T12:00:00Z,1999,1,12,6,6,1000.0,-24.7,500.0,-30.7,-6.0,True,850.0,1000.0,-21.7,3.0,good,gdas.adpupa.t12z.19990111.bufr
31004_19990112_0000_00,31004,Aldan,1999-01-12T00:00:00Z,1999,1,00,6,6,1000.0,-24.4,500.0,-30.4,-6.0,True,850.0,1000.0,-21.4,3.0,good,gdas.adpupa.t00z.19990112.bufr
31004_19990112_1200_12,31004,Aldan,1999-01-12T12:00:00Z,1999,1,12,6,6,1000.0,-24.4,500.0,-30.4,-6.0,True,850.0,1000.0,-21.4,3.0,good,gdas.adpupa.t12z.19990112.bufr
31004_19990113_0000_00,31004,Aldan,1999-01-13T00:00:00Z,1999,1,00,6,6,1000.0,-24.1,500.0,-30.1,-6.0,True,850.0,1000.0,-21.1,3.0,good,gdas.adpupa.t00z.19990113.bufr
31004_19990113_1200_12,31004,Aldan,1999-01-13T12:00:00Z,1999,1,12,6,6,1000.0,-24.1,500.0,-30.1,-6.0,True,850.0,1000.0,-21.1,3.0,good,gdas.adpupa.t12z.19990113.bufr
31004_19990114_0000_00,31004,Aldan,1999-01-14T00:00:00Z,1999,1,00,6,6,1000.0,-23.8,500.0,-29.8,-6.0,True,850.0,1000.0,-20.8,3.0,good,gdas.adpupa.t00z.19990114.bufr
31004_19990114_1200_12,31004,Aldan,1999-01-14T12:00:00Z,1999,1,12,6,6,1000.0,-23.8,500.0,-29.8,-6.0,True,850.0,1000.0,-20.8,3.0,good,gdas.adpupa.t12z.19990114.bufr
31004_19990115_0000_00,31004,Aldan,1999-01-15T00:00:00Z,1999,1,00,6,6,1000.0,-23.5,500.0,-29.5,-6.0,True,850.0,1000.0,-20.5,3.0,good,gdas.adpupa.t00z.19990115.bufr
31004_19990115_1200_12,31004,Aldan,1999-01-15T12:00:00Z,1999,1,12,6,6,1000.0,-23.5,500.0,-29.5,-6.0,True,850.0,1000.0,-20.5,3.0,good,gdas.adpupa.t12z.19990115.bufr
31004_19990116_0000_00,31004,Aldan,1999-01-16T00:00:00Z,1999,1,00,6,6,1000.0,-23.2,500.0,-29.2,-6.0,True,850.0,1000.0,-20.2,3.0,good,gdas.adpupa.t00z.19990116.bufr
31004_19990116_1200_12,31004,Aldan,1999-01-16T12:00:00Z,1999,1,12,6,6,1000.0,-23.2,500.0,-29.2,-6.0,True,850.0,1000.0,-20.2,3.0,good,gdas.adpupa.t12z.19990116.bufr
31004_19990117_0000_00,31004,Aldan,1999-01-17T00:00:00Z,1999,1,00,6,6,1000.0,-22.9,500.0,-28.9,-6.0,True,850.0,1000.0,-19.9,3.0,good,gdas.adpupa.t00z.19990117.bufr
31004_19990117_1200_12,31004,Aldan,1999-01-17T12:00:00Z,1999,1,12,6,6,1000.0,-22.9,500.0,-28.9,-6.0,True,850.0,1000.0,-19.9,3.0,good,gdas.adpupa.t12z.19990117.bufr
31004_19990118_0000_00,31004,Aldan,1999-01-18T00:00:00Z,1999,1,00,6,6,1000.0,-22.6,500.0,-28.6,-6.0,True,850.0,1000.0,-19.6,3.0,good,gdas.adpupa.t00z.19990118.bufr
31004_19990118_1200_12,31004,Aldan,1999-01-18T12:00:00Z,1999,1,12,6,6,1000.0,-22.6,500.0,-28.6,-6.0,True,850.0,1000.0,-19.6,3.0,good,gdas.adpupa.t12z.19990118.bufr
31004_19990119_0000_00,31004,Aldan,1999-01-19T00:00:00Z,1999,1,00,6,6,1000.0,-22.3,500.0,-28.3,-6.0,True,850.0,1000.0,-19.3,3.0,good,gdas.adpupa.t00z.19990119.bufr
31004_19990119_1200_12,31004,Aldan,1999-01-19T12:00:00Z,1999,1,12,6,6,1000.0,-22.3,500.0,-28.3,-6.0,True,850.0,1000.0,-19.3,3.0,good,gdas.adpupa.t12z.19990119.bufr
31004_19990120_0000_00,31004,Aldan,1999-01-20T00:00:00Z,1999,1,00,6,6,1000.0,-22.0,500.0,-28.0,-6.0,True,850.0,1000.0,-19.0,3.0,good,gdas.adpupa.t00z.19990120.bufr
31004_19990120_1200_12,31004,Aldan,1999-01-20T12:00:00Z,1999,1,12,6,6,1000.0,-22.0,500.0,-28.0,-6.0,True,850.0,1000.0,-19.0,3.0,good,gdas.adpupa.t12z.19990120.bufr
31004_19990121_0000_00,31004,Aldan,1999-01-21T00:00:00Z,1999,1,00,6,6,1000.0,-21.7,500.0,-27.7,-6.0,True,850.0,1000.0,-18.7,3.0,good,gdas.adpupa.t00z.19990121.bufr
31004_19990121_1200_12,31004,Aldan,1999-01-21T12:00:00Z,1999,1,12,6,6,1000.0,-21.7,500.0,-27.7,-6.0,True,850.0,1000.0,-18.7,3.0,good,gdas.adpupa.t12z.19990121.bufr
31004_19990122_0000_00,31004,Aldan,1999-01-22T00:00:00Z,1999,1,00,6,6,1000.0,-21.4,500.0,-27.4,-6.0,True,850.0,1000.0,-18.4,3.0,good,gdas.adpupa.t00z.19990122.bufr
31004_19990122_1200_12,31004,Aldan,1999-01-22T12:00:00Z,1999,1,12,6,6,1000.0,-21.4,500.0,-27.4,-6.0,True,850.0,1000.0,-18.4,3.0,good,gdas.adpupa.t12z.19990122.bufr
31004_19990123_0000_00,31004,Aldan,1999-01-23T00:00:00Z,1999,1,00,6,6,1000.0,-21.1,500.0,-27.1,-6.0,True,850.0,1000.0,-18.1,3.0,good,gdas.adpupa.t00z.19990123.bufr
31004_19990123_1200_12,31004,Aldan,1999-01-23T12:00:00Z,1999,1,12,6,6,1000.0,-21.1,500.0,-27.1,-6.0,True,850.0,1000.0,-18.1,3.0,good,gdas.adpupa.t12z.19990123.bufr
31004_19990124_0000_00,31004,Aldan,1999-01-24T00:00:00Z,1999,1,00,6,6,1000.0,-20.8,500.0,-26.8,-6.0,True,850.0,1000.0,-17.8,3.0,good,gdas.adpupa.t00z.19990124.bufr
31004_19990124_1200_12,31004,Aldan,1999-01-24T12:00:00Z,1999,1,12,6,6,1000.0,-20.8,500.0,-26.8,-6.0,True,850.0,1000.0,-17.8,3.0,good,gdas.adpupa.t12z.19990124.bufr
31004_19990125_0000_00,31004,Aldan,1999-01-25T00:00:00Z,1999,1,00,6,6,1000.0,-20.5,500.0,-26.5,-6.0,True,850.0,1000.0,-17.5,3.0,good,gdas.adpupa.t00z.19990125.bufr
31004_19990125_1200_12,31004,Aldan,1999-01-25T12:00:00Z,1999,1,12,6,6,1000.0,-20.5,500.0,-26.5,-6.0,True,850.0,1000.0,-17.5,3.0,good,gdas.adpupa.t12z.19990125.bufr
31004_19990126_0000_00,31004,Aldan,1999-01-26T00:00:00Z,1999,1,00,6,6,1000.0,-20.2,500.0,-26.2,-6.0,True,850.0,1000.0,-17.2,3.0,good,gdas.adpupa.t00z.19990126.bufr
31004_19990126_1200_12,31004,Aldan,1999-01-26T12:00:00Z,1999,1,12,6,6,1000.0,-20.2,500.0,-26.2,-6.0,True,850.0,1000.0,-17.2,3.0,good,gdas.adpupa.t12z.19990126.bufr
31004_19990127_0000_00,31004,Aldan,1999-01-27T00:00:00Z,1999,1,00,6,6,1000.0,-19.9,500.0,-25.9,-6.0,True,850.0,1000.0,-16.9,3.0,good,gdas.adpupa.t00z.19990127.bufr
31004_19990127_1200_12,31004,Aldan,1999-01-27T12:00:00Z,1999,1,12,6,6,1000.0,-19.9,500.0,-25.9,-6.0,True,850.0,1000.0,-16.9,3.0,good,gdas.adpupa.t12z.19990127.bufr
31004_19990128_0000_00,31004,Aldan,1999-01-28T00:00:00Z,1999,1,00,6,6,1000.0,-19.6,500.0,-25.6,-6.0,True,850.0,1000.0,-16.6,3.0,good,gdas.adpupa.t00z.19990128.bufr
31004_19990128_1200_12,31004,Aldan,1999-01-28T12:00:00Z,1999,1,12,6,6,1000.0,-19.6,500.0,-25.6,-6.0,True,850.0,1000.0,-16.6,3.0,good,gdas.adpupa.t12z.19990128.bufr
31004_19990129_0000_00,31004,Aldan,1999-01-29T00:00:00Z,1999,1,00,6,6,1000.0,-19.3,500.0,-25.3,-6.0,True,850.0,1000.0,-16.3,3.0,good,gdas.adpupa.t00z.19990129.bufr
31004_19990129_1200_12,31004,Aldan,1999-01-29T12:00:00Z,1999,1,12,6,6,1000.0,-19.3,500.0,-25.3,-6.0,True,850.0,1000.0,-16.3,3.0,good,gdas.adpupa.t12z.19990129.bufr
31004_19990130_0000_00,31004,Aldan,1999-01-30T00:00:00Z,1999,1,00,6,6,1000.0,-19.0,500.0,-25.0,-6.0,True,850.0,1000.0,-16.0,3.0,good,gdas.adpupa.t00z.19990130.bufr
31004_19990130_1200_12,31004,Aldan,1999-01-30T12:00:00Z,1999,1,12,6,6,1000.0,-19.0,500.0,-25.0,-6.0,True,850.0,1000.0,-16.0,3.0,good,gdas.adpupa.t12z.19990130.bufr
31004_19990131_0000_00,31004,Aldan,1999-01-31T00:00:00Z,1999,1,00,6,6,1000.0,-18.700000000000003,500.0,-24.700000000000003,-6.0,True,850.0,1000.0,-15.700000000000003,3.0,good,gdas.adpupa.t00z.19990131.bufr
31004_19990131_1200_12,31004,Aldan,1999-01-31T12:00:00Z,1999,1,12,6,6,1000.0,-18.700000000000003,500.0,-24.700000000000003,-6.0,True,850.0,1000.0,-15.700000000000003,3.0,good,gdas.adpupa.t12z.19990131.bufr
